Names,Best For,Joining Fee,Renewal Fee,Welcome Bonus,Reward Rates,travel,Domestic Lounge Access,Insurance Benefits,Movie & Dining,Reward redemption,Golf,International lounge access,Zero Liability Protection,Spend based waiver,Reward redemption fee,Foreign currency markup,Interest Rates,Fuel Surcharge,Cash advance charge,Add on card fee,Eligibility,Limit
BPCL SBI Credit Card,Fuel,Rs. 499 (plus applicable taxes),Rs. 499 (plus applicable taxes),"2,000 Activation Bonus Reward Points worth Rs. 500 on payment of joining fee (credited after 20 days of the payment of joining fee).","1 Reward Point per Rs. 100 (reward rate = 0.25%), 5x RPs on dining, movies, departmental stores, and groceries (reward rate = 1.25%), 13X RPs at BPCL pumps (reward rate = 3.25%)",NA,NA,NA,5X Reward Points on movie and dining spends,"Reward Points redeemable against gift vouchers on sbicard.com or on SBI mobile app, for purchases at BPCL petrol stations and against cash (card’s statement balance). 4 Reward Points = Re. 1.",NA,NA,Cardholder shall not be liable for any fraudulent transaction made on the card post reporting the loss of card to the bank.,"Renewal fee is waived off on a minimum spend of Rs. 50,000 in an anniversary year.",Rs. 99 (plus applicable taxes) per redemption request,3.5% of the transaction amount,3.5% per month (42% per annum),"1% fuel surcharge waived off at all fuel stations across India for transactions up to Rs. 4,000 (max waiver capped at Rs. 100 per month)",2.5% of the withdrawn amount (subject to a minimum charge of Rs. 500),NA,NA,NA
Air India SBI Signature Credit Card,Travel,"Rs. 4,999 (plus applicable taxes)","Rs. 4,999 (plus applicable taxes)","You will get 20,000 reward points in the form of a welcome benefit.",30 RP for every Rs. 100 spent on tickets booked for self and 10 RPs for every Rs. 100 spent on tickets booked for others through airindia.in and 10 RPs for every Rs. 100 spent on tickets booked for self and others through Air India Booking office or call centers,"Reward Points convertable into Air India Air Miles, accelerated reward points on Air India spends, complimentary domestic and international airport lounge access","Complimentary visits to domestic lounges, up to 8 times a year.",Insurance cover worth Rs. 1 Lakhs against the lost card.,NA,The reward points that the cardholders earn can be converted into Air India Air Miles. 1 Reward point = 1 AirMile,NA,Complimentary Priority Pass membership (visits chargable),Zero liability of credit cardholder against fraudulent transaction on the card post reporting the loss of card to the bank,NA,Rs. 99 (plus applicable taxes),3.5% of the amount transacted,3.5% per month (or 42% annually),"Fuel surcharge waiver of 1% on fuel transactions between Rs. 500 and Rs. 4,000.",2.5% or Rs. 500 (whichever is higher),NA,NA,NA
Club Vistara SBI Card PRIME,Travel,"Rs. 2,999 (plus applicable taxes)","Rs. 2,999 (plus applicable taxes)",1 complimentary Premium Economy class ticket as a gift voucher on payment of the joining/renewal fee.,"4 CV (Club Vistara) points/Rs, 200 for every spend, including fuel transactions.","1 Premium Economy Class ticket each on the annual expenditure of Rs. 1.5 lakh, 3 lakh, 4.5 lakh and 8 lakh, complimentary domestic as well as international lounge visits, discounts on car rentals, hotel bookings, and destination programs in Japan, Korea, Macau and Singapore.",8 complimentary access to domestic lounges (2 per quarter),"Insurance cover for up to 6 flight ticket cancelations per year (each limited to Rs. 3,500), air accident cover up to Rs. 1 crore, and insurance of up to Rs. 72,000 for loss of check-in baggage, Rs. 7,500 if the baggage is delayed, Rs. 5,000 if the baggage is damaged, and a cover of Rs. 12,500 in case you lose your baggage during air travel.",NA,"Club Vistara Points can be redeemed for booking award flights, class upgrades, or against any seat reservation under the Vistara Cash + Points program (1 CV Point = Rs. 0.2)",NA,4 complimentary visits per year (max 2 per quarter) with Priority Pass membership.,Up to Rs. 1 lakh Lost card liability protection from 48 hours prior to reporting the loss of card till 7 days post reporting the loss to the bank.,None,NA,3.5% (plus applicable taxes),3.5% per month (42% per annum),"1% fuel surcharge applicable, subject to a minimum amount of Rs. 10.",2.5% of the withdrawn amount (subject to a minimum charge of Rs. 500),NA,NA,NA
Air India SBI Platinum Credit Card,Travel,"Rs. 1,499 (plus applicable taxes)","Rs. 1,499 (plus applicable taxes)","5,000 reward points after paying the joining fee (credited within 15 days from the date of payment)","15 reward points for every Rs. 100 spent on Air India ticket bookings for self on airindia.in, 5 RPs for every Rs. 100 spent on Air India ticket bookings for others on airindia.com and 5 RPs for every Rs. 100 spent on Air India ticket bookings for self or others via Air India call centers or booking offices, Get 2 Reward points per Rs. 100 you spend.",Complimentary access to domestic lounges,8 complimentary visits to domestic lounges every year (max 2 per quarter),Lost card liability protection of Rs. 1 lakh applicable from 48 hours prior to 7 days post reporting about the card to the bank.,NA,Reward points are convertible into Air India Air Miles. 1 RP = 1 AirMile,NA,NA,No liability to the cardholder once the card is reported lost to the bank.,NA,NA,3.5% (plus applicable taxes),3.5% per month (or 42% per annum),"1% fuel surcharge waiver at fuel stations all over India on transactions between Rs. 500 and Rs. 4,000 (capped at Rs. 250).",2.5% (minimum of Rs. 500),NA,NA,NA
Club Vistara SBI Card,Travel,"Rs 1,499 (plus applicable taxes)","Rs 1,499 (plus applicable taxes)",1 economy class air ticket e-voucher as a complimentary gift and Club Vistara Base membership,3 CV (Club Vistara) Points per Rs 200 you spend.,Complimentary Domestic lounge access and Air Vistara tickets as milestone benefits.,4 complimentary access to domestic lounges annually (max 1 visit every quarter),"Air accidents cover up to Rs 50 lacs.
Loss of check-in baggage cover of Rs 72000.
Loss of travel documents cover of Rs 12500.
Cover against 4 flight cancellations in a year each limited to Rs 3500.
Baggage damage cover up to Rs 2,500.",NA,Reward Points directly transferred to Club Vistara account.  You can redeem the accumulated CV Points for flights on Air Vistara and partner airlines.,NA,Complimentary Priority Pass Membership,"Zero liability cover up to Rs. 1 lakh, provided the card is reported lost to the bank within 48 hours.",None,NA,3.5% on the transaction amount,3.50% per month (42% per annum),NA,2.5% of amount withdrawn (minimum charge of Rs 500/-),NA,NA,NA
Etihad Guest SBI Premier Card,Travel,"Rs. 4,999 (plus applicable taxes)","Rs. 4,999 (plus applicable taxes)","5,000 Etihad Guest Miles, 2 Free Wifi vouchers on first Etihad Airways booking, complimentary Etihad Guest Gold tier status post first card transaction,","6 Etihad Guest Miles per Rs. 100 you spend on Etihad.com, 4 Etihad Guest Miles on every Rs. 100 you spend on international purchases, and 2 Etihad Guest Miles for every other spend (except fuel purchases). A max of 40,000 Miles per year can be earned.","Complimentary Etihad Gold Tier status and 5,000 Etihad Guest Miles as a Welcome Benefit, complimentary domestic and international lounge access, up to 10% discount on direct Etihad Airways bookings, up to 10% discount on travel rewards and miles redemption, 1,500 Etihad Guest Miles on spends of Rs. 1,50,000 in a calendar quarter, 1 Etihad Companion Voucher on the annual expenditure of Rs. 8,00,000.",8 domestic lounge access each year with a quarterly cap of 2 visits.,"Overseas air accident cover worth Rs. 50 lakh, fraud liability cover worth Rs. 1 lakh, and an allowance of USD 1,000 in case of loss of baggage.",NA,"The Etihad Guest Miles earned are redeemable for booking hotels, flights, and renting cars from participating travel partners, and for purchasing products on etihadguest.com or its travel partner services. Etihad Miles can also be used to pay for purchases made using the credit card.",NA,Complimentary Priority Pass membership worth USD 99 with 4 complimentary lounge access outside India (max 2 per quarter). Visits chargeable at USD 27/visit/guest post this complimentary quota.,Fraud liability cover of Rs. 1 lakh applicable from 48 hours prior to reporting and 7 days post reporting the loss of card.,"Next year’s annual membership fee waived on the expenditure of minimum Rs. 5,00,000 in a year.",NA,3.5% (plus applicable taxes),3.5% per month (42% per annum),"The 1% fuel surcharge waiver at all fuel stations across India for transactions between Rs. 500 and Rs. 4,000 (capped at Rs. 250 per statement cycle)",2.5% of the withdrawn amount (subject to a minimum charge of Rs. 500),NA,"If you are a salaried employee, your age should be between 18 years to 65 years.
If you are a self-employed individual, your age should lie between 21 years and 60 years.
You should have a stable source of income.
You should have a good credit score.",Etihad Guest SBI Card Premier Login/Internet Banking
Etihad Guest SBI Card,Travel,"Rs. 1,499 (plus applicable taxes)","Rs. 1,499 (plus applicable taxes)","2,500 Etihad Guest Miles, Etihad Guest Silver tier status, 1 complimentary wifi voucher on first booking for Etihad Airways","3 Etihad Guest Miles per Rs. 100 you spend on Etihad.com, 2 Etihad Guest Miles per Rs. 100 you spend on International transactions, 1 Etihad Guest Mile on other Rs. 100 spends.","Etihad Guest Silver tier status, 2,500 Etihad Guest Miles, free wifi voucher on first Etihad Airways booking, 10% discount on business class and 3% discount on economy class tickets on direct Etihad Airways bookings, up to 5% discount on reward miles redemption, complimentary domestic lounge access, complimentary Priority Pass membership",8 complimentary access to domestic lounges annually (max 2/quarter),"Overseas air accident cover of Rs. 25 lakh, fraud liability cover worth Rs. 50,000, lost baggage cover of up to USD 1,000",NA,"Etihad Guest Miles earned redeemable for booking flights, hotels and renting cars from participating travel partners, and for purchasing products from etihadguest.com or its travel partner services. Etihad Miles can also be used to pay for purchases made using the credit card.",NA,Complimentary Priority Pass membership worth USD 99,"Fraud liability cover of Rs. 50,000 applicable on the lost card from 48 hours prior to reporting and 7 days post reporting.",Annual membership fee waived off (2nd year onwards) on minimum spends of Rs. 3 lakh in the previous year,NA,3.5% (plus applicable taxes),3.5% per month (or 42% annually),"1% fuel surcharge waiver applicable at all fuel stations in India for purchases between Rs. 500 and Rs. 4,000 (max benefit capped at Rs. 250 per payment cycle)",2.5% of the withdrawn amount (subject to a minimum charge of Rs. 500),NA,NA,NA
IRCTC SBI Card Premier,Travel,"Rs. 1,499 + applicable taxes","Rs. 1,499 + applicable taxes","1,500 Reward Points","For every Rs. 125 spent on dining and standing instructions related to utility spends, you will get 3 Reward Points, and 1 Reward Points on every Rs. 125 you spend on other non-fuel retail purchases",Complimentary access to railway lounges per year,8 complimentary visits to railway lounges every year (2 each quarter) within India,"You get insurance coverage against air accidents, railway accidents, and a fraud liability cover.",NA,1 Reward Point = Re. 1.,NA,NA,Zero liability of credit cardholders for any unlawful transactions made through his/her card post reporting the loss to the bank.,Spend-based waiver of renewal fee on the basis of the amount spent in the previous year.,Rs. 99,3.5% on all international transactions,3.5% per month,1% fuel surcharge waiver,"2.5% of the cash advance or Rs. 500, the higher of the two.",NA,NA,NA
IRCTC SBI Platinum Credit Card,Travel,Rs. 500 plus applicable taxes,Rs. 500 plus applicable taxes,Earn 350 activation bonus on a single transaction of Rs 500 or more within 45 days of the activation of the credit card. Earn Rs 100 cashback on ATM cash Withdrawal for the first time.,Earn up to 10% Value Back as Reward Points while you book Railway Tickets on IRCTC. Earn 1 Reward Point for every Rs 125 spent. 1 Reward Point= Re. 1,"Save 1.8% transactions charges by railway tickets on IRCTC’s website. Avail accommodation offers at more than 5000 hotels spread across 350 cities in India. Avail custom made packages from adventure, wildlife to leisure and pilgrimage across India from IRCTC Website.",NA,NA,NA,Redeem your RPs against booking railway tickets on IRCTC ‘s Website.,NA,NA,NA,NA,Rs 99,3.5% of the total transaction value.,3.5% per month or 42% per annum,1% of Fuel Surcharge Waiver (Maximum waiver of Rs 100 per statement cycle) at all fuel stations across India.,2.5% of the total transaction amount (Minimum Rs. 500),NA,NA,NA
IRCTC Rupay SBI Credit Card,Travel,Rs. 500 (plus applicable taxes),Rs. 500 (plus applicable taxes),You get 350 reward points on a minimum transaction of Rs. 500 within 45 days after receiving the card. You also get Rs 100 cashback on your first ATM withdrawal within 30 days of card issuance.,1 Reward Point on every spend of Rs. 125.,You get complimentary railway lounge access every year through the Railway Lounge Program and accommodation at more than 5000 hotels across 350+ cities in India.,4 complimentary domestic railway lounge access every year (1 per quarter).,NA,NA,The RPs you earn are credited to your IRCTC Rupay SBI credit card.,NA,NA,The cardholder will not be liable for any fraudulent transaction done through their card once the card is reported lost/stolen.,NA,Rs. 99,3.5% per foriegn conversion,3.5% per month (42% per annum),"1% fuel surcharge waiver across all petrol pumps in India for all transactions between Rs. 500 to Rs. 3,000. You can get a maximum waiver of Rs. 100 in a statement cycle.",2.5% or Rs. 500 (whichever is higher),NA,NA,NA
Yatra SBI Credit Card,Travel,499 plus applicable taxes,499 plus applicable taxes,Get e-gift vouchers from Yatra.com worth Rs 8250/- on paying the membership fee,"6 Reward Points per Rs. 100 spent on Movies, Groceries, Entertainment, Departmental Stores, Dining
1 Reward Point per Rs. 100 on all other spenings.","You get Rs 1000 off on domestic flight bookings on min transaction of Rs 5,000. You also get Rs Rs. 4,000 off on international flight bookings on min transaction of Rs 40,000 and 20% off on domestic hotels",NA,Complimentary air accidental cover worth Rs 50 lacs,NA,1 RP = Rs 0.25 redeemable through by visiting the SBI Card website or at www. yatra.com website,NA,NA,Protection cover provided in case of any unauthorized transaction made from the credit card if reported within the stipulated time,Annual and renewal fees can be waived if you spend Rs. 1 Lakh in a year.,Rs 99/- per request,3.5% per conversion,3.5% per month (42% per annum),1 % on fuel transactions across all petrol pumps in India,"2.5% of withdrawal amount, subject to a minimum of ₹300",NA,NA,NA
Paytm SBI Credit Card Select,Shopping,"Rs 1,499","Rs 1,499",Get a Complimentary Paytm First Membership is provided on card activation as welcome offer. Welcome Cashback of Rs 750 is provided to the card holder upon activation of the credit card in your Paytm wallet.,"5% cashback on Paytm Mall, Movies, Travel. 2% cashback on all other purchases on Paytm App. 1% cashback on other online and offline spends.",Complimentary Domestic Airport Lounge access and Priority Pass worth US $99.,"Complimentary Domestic Airport Lounge access 4 times in a year, capped to 1 visit per quarter.",Your credit card is protected by Cyber Fraud Insurance Cover worth Rs 2 Lacs which covers financial loss due to fraudulent usage of your credit card by someone else.,NA,NA,NA,Complimentary Priority Pass worth US $99 for 2 years of cardholder membership under the International Lounge Program.,NA,NA,Rs 99,3.5% of the total transaction value.,3.5% per month or 42% per annum.,1% of Fuel Surcharge Waiver (Maximum waiver of Rs 100 per statement cycle).,2.5% of the total transaction amount (Minimum Rs. 500),NA,NA,NA
Paytm SBI Card,Shopping,Rs 499 + GST,Rs 499 + GST,Complimentary membership to Paytm First worth Rs. 899.,"3% Cashback on every Rs. 100 spent on all Paytm Mall, movies, and travel. You can earn 2% Cashback on every Rs. 100 spent on all other purchases on Paytm App on this card. You can also earn 1% Cashback on every Rs. 100 spent on any other offline/online transactions.",NA,NA,NA,NA,Redeem cashback on Paytm gift vouchers balance,NA,NA,Covers upto Rs. 1 Lakh in case of card loss/theft.,NA,"₹ 99 while redeeming specific vouchers, gifts, and cash redemption.",3.5% of the amount transacted,3.50% p.m. (42% p.a.),1% fuel surcharge will be waived off at all fuel stations in India.,"2.5% of the amount withdrawn, subject to a minimum of Rs. 500",NA,NA,NA
Aditya Birla SBI Card SELECT,"Travel , Shopping","Rs. 1,499 (plus applicable taxes)","Rs. 1,499 (plus applicable taxes)",6000 Rewards Points on card issuance.,"Get 20X Reward Points for every Rs. 100 you spend on Aditya Birla Stores 10X Reward Points for every Rs. 100 on Entertainment, Dining, and Hotels and 2X Reward Point per Rs. 200 spent on other categories.",Complimentary access to lounges in India,4 complimentary access to Domestic Airport Lounges,NA,NA,"Reward Points can be redeemed for gift vouchers on sbicard.com or SBI mobile app or for against card’s outstanding balance, 1 RP = Rs. 0.25",NA,NA,NA,NA,Rs 99 per redemption request,3.5% on the conversion amount,3.5% per month (42% per annum),1% surcharge waiver on fuel transactions at all fuel stations across India,2.5% on the transaction amount subject to a minimum charge of Rs 500,NA,NA,NA
Aditya Birla SBI Card,"Travel , Shopping",Rs. 499 (plus applicable taxes),Rs. 499 (plus applicable taxes),"Activation bonus of 2,000 Rewards Points.","10 RP for every Rs. 100 spent on Aditya Birla Stores, 5 Reward Points for every Rs. 100 spent on Dining, Entertainment, and Hotels and 1 Reward Point for every Rs. 200 spent on other categories.",NA,NA,NA,NA,"You can redeem the RP’s on sbicard.com or can be used for paying outstanding balance of the credit card, 1 Reward Point = Rs. 0.25",NA,NA,NA,NA,Rs. 99 per redemption request,3.5% on the conversion amount,3.5% per month (42% per annum),1% surcharge waiver on fuel transactions at all fuel stations across India,2.5% on the transaction amount subject to a minimum charge of Rs 500,NA,NA,NA
Nature’s Basket SBI Card Elite,Shopping,"Rs. 4,999 (plus applicable taxes)","Rs. 4,999 (plus applicable taxes)","Complementary access to Connoisseur, Nature’s Basket loyalty program and Nature’s Basket Gift Voucher worth Rs. 5,000.","20 Reward Points on every Rs. 100 spent at Nature’s Basket. 10 Reward Points on every Rs. 100 spent at Dining, movie, entertainment and international spends. 2 Reward Points on every Rs. 100 spent on all other retail purchases.",Complimentary access to domestic and international airport lounges.,2 complimentary Domestic Airport Lounge access every quarter.,NA,Rs. 250 off per movie ticket booked with the card. Maximum discount of Rs. 500 in a month.,"Redeem reward points for Nature’s basket loyalty program, also at Shop and Smile Rewards Catalogue.",NA,2 complimentary International Airport Lounges access every quarter.,Cardholder not liable for fraudulent transactions post reporting the loss of card to the bank,Annual Fee waived off on spending Rs. 10 lakhs or more in the previous year.,Rs. 99 per redemption request,3.5% of the transaction amount,3.5%  p.m. (42% p.a.),"1% fuel surcharge waiver on all fuel transactions between Rs. 500 and Rs. 4,000. Capped at Rs. 100 per month.","2.50% of the withdrawn amount, subject to a minimum charge of Rs. 500",NA,"Visit the SBI Card’s official website.
Click on ‘Credit Cards.’
Select the Nature’s Basket SBI Card Elite.
Click on apply now and proceed further accordingly.",NA
Nature’s Basket SBI Card,Shopping,"Rs. 1,499 (plus applicable taxes)","Rs. 1,499 (plus applicable taxes)","Gift voucher worth Rs. 1,500 from Nature’s Basket and complimentary access to ‘Epicure’ Nature’s Basket Loyalty Program","2x Reward Points on Nature’s Basket, 5 Reward Points on dining, movies, entertainment, and international spends, 1 Reward Point on every Rs. 100 spent on all other spends.",Complimentary access to the airport lounges,4 complimentary visits in a year to Domestic Airport Visa Lounges in India,NA,5 Reward Points while spending on dining and movie-related spends.,The reward points earned with this credit card can be redeemed via Nature’s Basket Loyalty Program or via Shop and Smile Rewards Catalogue. 4 Reward Points = Re. 1,NA,NA,Zero Liability Protection is provided against lost/stolen credit cards upon reporting to the customer care of the bank.,Waiver of renewal fee on the spending of Rs. 2 Lakhs or more in the previous year.,Rs. 99 per redemption request,3.5% on all international transactions,3.5% per month (or 42% annually),1% at all fuel stations in India. The surcharge amount is capped at Rs. 100 per statement cycle.,"2.5% of the amount or Rs. 500, higher of the two",NA,"The reward points can be redeemed against a wide variety of products and vouchers available at the SBI Bank’s Shop and Smile Rewards Catalogue.
Further, the reward points can be redeemed by the Nature’s Basket Loyalty Program. The reward points can be converted into Nature’s Basket Point on the request of the credit cardholder. You can either call the customer care number mentioned on the backside of the credit card or initate the conversion process through SBI mobile banking application or by logging in to SBI Website.
For the purpose of redemption, 4 Reward Points = Re. 1.",NA
Doctor’s IMA SBI Card,Travel,"Rs 1,499 (plus applicable taxes)","Rs 1,499 (plus applicable taxes)",Get a complimentary travel gift voucher from Yatra.com worth Rs. 1500. Voucher will be redeemed online at the time of purchase.,"1 Reward Point per Rs. 100 spent with a reward rate of 0.25% and 5 Reward Points per Rs. 100 spent on medical supplies, travel bookings and international spends with a reward rate of 1.25% and 5 reward points  on all spends on Doctor’s Day.",Free access to the priority pass program worth $99 under International Lounge Benefits,"Complimentary Lounge Access for domestic airports 8 times a year, maximum 2 times a quarter","Get Professional Indemnity Insurance which covers up to Rs 20 lakhs per card and includes court awards, out-of-court settlement expenses, and reimbursement of legal and defense cost",NA,Reward points can be redeemed against an array of options from the reward point catalogue. 1 Reward Point = Rs. 0.25,NA,"Complimentary Lounge Access for international airports 4 times a year, maximum 2 times a quarter",Cardholder shall not be liable for any fraudulent transaction made with card post reporting the loss of card to the bank,Renewal Fee is reversed on annual spends of Rs. 2 Lakhs,Rs. 99 (plus applicable taxes),3.5% of the transaction amount,3.5% per month or 42% per year,Waiver of 1 % fuel surcharge at all petrol stations in the country (max Rs. 250 per cycle),"2.5 % of the transaction amount or Rs. 500, whichever is lower",NA,NA,NA
Delhi Metro SBI Credit Card,Travel,Rs 500 + GST,Rs 500 + GST,"2000 Reward Points on spending Rs 2000 within the first 60 days of the card issuance. Moreover, you get free metro cash of Rs 50 on your Delhi Metro Smart card","10 reward points on every Rs 100 spent on Dining, Movies, Grocery, Departmental stores, and Utility bill payments. You get 1 reward point on every Rs 100 spent on other categories",NA,NA,NA,NA,You can redeem the reward point accumulated on this card can be redeemed against the reward catalogue or statement cash.,NA,NA,NA,"You get a renewal fee waiver of Rs 500 on spending of Rs 1,00,000 in the previous year.",Rs 99 per redemption request,3.5% on the conversion amount,3.5% per month ( 42% per annum),1% surcharge waiver on all fuel transactions at all fuel stations across India,2.5% on the withdrawal amount subject to minimum amount of Rs 500,NA,NA,NA
Mumbai Metro SBI Card,Shopping,₹ 499,₹ 499,"Get Rs. 50 as preloaded value on Mumbai Metro SBI Card. Get 2000 reward points on spending ₹ 2,000 within 60 days of card issuance.","Earn 10 reward points on every ₹ 100 spent on top-up. Earn 10 reward points on every ₹ 100 spent on dining, movies, grocery and departmental stores (up to 5000 RPs in a month). Earn 1 reward points on every ₹ 100 spent on other categories.",NA,NA,NA,NA,"Redeem reward points for paying outstanding balance, e-vouchers, gifts, purchasing electronics, homeware, accessories, lifestyle products, Disney+ Hotstar Premium memberships, livemint subscription and more. 1 RP = Rs. 0.25.",NA,NA,NA,"Waiver of renewal fee on spending Rs. 1,00,000 in the previous year.","₹ 99 (on gifts, cash redemption & specific vouchers only)",3.5%,3.50% p.m. (42% p.a.),Avail 1% fuel surcharge waiver at all petrol pumps in India on transactions between ₹ 500 – ₹ 3000. Maximum limit of fuel surcharge waiver is capped at ₹ 100.,2.5% of the advance amount (minimum of Rs. 500),NA,NA,NA
OLA Money SBI Credit Card,Travel,NA,NA,You get a flight voucher worth Rs. 300 and an EaseMyTrip voucher worth Rs. 2000.,1% Reward Points on all spends.,NA,NA,NA,NA,"The reward points are automatically credited to your OLA money wallet. Here, 1 Reward Point = Rs. 1.",NA,NA,Zero Liability Protection is provided for a lost/stolen card if reported in a timely manner.,Renewal fee waiver on a spend of Rs. 1 lakh or more in the previous year.,Rs. 99,3.5% on all foreign currency spends,Up to 3.5% per month,1% fuel surcharge waiver at all fuel stations in India with a maximum surcharge benefit of Rs. 100 in a statement cycle.,2.5% or Rs. 500 (whichever is higher),NA,"Identity Proof: Aadhar Card, PAN Card, Voter ID, Passport, Driving Licence, etc.
Address Proof: Passport, Utility bills, Voter ID, Aadhar Card, Driving Licence, Rent agreement, Municipal or property tax receipt, House allotment letter issued by central or state government.
Income Proof: For self-employed individuals – Later ITR (Income Tax Return) / Form 16, For salaried employees – salary slip of latest months.",NA
SBI Unnati Credit Card,Shopping,NA,NA,NA,1 reward point per Rs 100 you spend,NA,NA,NA,NA,1 RP = Rs 0.25 on redemption against a host of gifts and benefits at the SBI Card rewards catalog.,NA,NA,NA,NA,Rs 99 per redemption request,3.5% on the conversion amount,3.5% per month ( 42% per annum),1% surcharge waiver on all fuel purchases using the SBI Unnati credit card,2.5% on the amount withdrawn subject to a minimum charge of Rs. 500,NA,NA,NA
SBI Tata Platinum Card,Shopping,"3,000 + GST","3,000 + GST","You get exclusive shopping e-Gift vouchers worth Rs 3000 from any partner exclusive such as Yatra, Hush Puppies / Bata, Aditya Birla Fashion, Westside","You can upto 3 Empower points on Dining, Departmental & Grocery shopping, and International spends. You get 1 Empower point on every Rs 100 spent on other retail categories. You earn 1 Empower point on every Rs 100 spent on retail stores",Complimentary lounge access in India at select airports,8 complimentary lounge access in India with Mastercard at select airports,NA,NA,1 Empower Point = Rs. 1 can be redeemed against the Tata Loyalty program- The Empower Program or you can simply redeem your reward points at TATA merchant outlets.,NA,NA,NA,NA,Rs 99 per redemption request,3.5% on the conversion amount,3.5% per month (42% per annum),1% surcharge waiver on fuel transactions at all fuel stations across India,2.5% on the transaction amount subject to a minimum charge of Rs 500,NA,NA,NA
FABindia SBI Card SELECT,Shopping,"Rs. 1,499 (plus applicable taxes)","Rs. 1,499 (plus applicable taxes)","Fabindia Vouchers worth Rs. 1,500; direct access to platinum tier Fabfamily membership.","10 Reward Points per Rs. 100 spent on Fabindia stores, 3 RPs per Rs. 100 spent on dining, movies and entertainment, 2 RPs per Rs. 100 spent on all international spends, 2 RPs per Rs. 200 on all other spends.","4 complimentary domestic airport lounge access (1 per quarter), complimentary Priority Pass membership for two years",4 complimentary domestic airport lounge access (1 per quarter),NA,NA,Reward Points can be converted into Fabfamily Rewards which can be used for shopping on Fabindia stores. 1 Reward Point = 1 Fabfamily Reward = Re. 1,NA,Complimentary Priority Pass membership for two years (lounge visits are chargeable),Cardholder not liable for any fraudulent transaction post reporting the loss of card to the bank,Annual fee waived off on spends of Rs. 2 lakh in the previous year,Rs. 99 (plus applicable taxes) per redemption request,3.5% of the transaction amount,3.5% per month (or 42% annually),"1% fuel surcharge waived off for transactions of up to Rs. 3,000 (max waiver of Rs 100 per month)","2.5% of the transaction amount, subject to a minimum amount of Rs. 500",NA,NA,NA
FABINDIA SBI Card,Shopping,Rs. 499,Rs. 499,Fabindia gift vouchers worth Rs. 500 & Fabfamily Gold Tier membership.,"5 RPs per Rs. 100 spent on Fabindia stores, 2 RPs per Rs. 100 spent on dining, entertainment & movies, 1 Reward Point per Rs. 100 spent on international spends, 1 Reward Points per Rs. 200 spent on all other categories.",NA,NA,NA,NA,The Reward Points can be converted into Fabfamily Rewards and can be redeemed against shopping at a rate of 1 Reward Point = 1 Fabfamily Reward = Re. 1.,NA,NA,The cardholder shall not be liable for any unauthorized transactions made on his/her card after reporting the card as lost/stolen to the bank.,Get your renewal fee waived off on a minimum spend of Rs 1 lakh in the previous year.,Rs. 99,3.5% on all foreign currency spends,3.5% per month,"1% fuel surcharge waiver for all fuel transactions up to Rs. 3,000",2.5% of the cash amount withdrawn or Rs. 500 (whichever is higher),NA,NA,NA
Lifestyle Home Centre SBI Card,Shopping,Rs. 499 plus applicable taxes,Rs. 499 plus applicable taxes,"2,000 bonus reward points worth Rs. 500 on card activation and Rs. 100 cash back on your first ATM cash withdrawal within 30 days of card activation.","5 Reward Points on every Rs. 100 spent at Online & Retail Landmark Stores (Lifestyle, Home Centre, Max and Spar) Dining & Movies. Earn 1 Reward point Rs. 100 spent on other retail purchases (except Fuel).",NA,NA,NA,NA,"Redeem Reward Points instantly at Lifestyle, Home Centre and Max stores (1 Landmark Reward = Rs 0.60).",NA,NA,NA,NA,Rs. 99 per redemption request.,3.5% of the transaction amount,3.5% per month (42% per annum),"1% fuel surcharge waiver for fuel transaction between Rs. 500 to Rs. 3,000. Capped at Rs. 100 per statement cycle.",2.5% subject minimum Rs. 500,NA,NA,NA
Lifestyle Home Centre SBI Card Prime,Shopping,"Rs. 2,999 with applicable taxes","Rs. 2,999 with applicable taxes",12000 RPs worth Rs. 3000. Rs. 100 cash-back on first withdrawal using ATM (within 30 days of receiving the card),2 RPs on purchase made worth Rs. 100 at non-landmark retail shops.. 15 RPs on online & offline purchases at landmark shops. 10 RPs on every Rs. 100 spent at dining & movies.,Get access to Domestic Airport Lounge,Avail 8 Complimentary visits to domestic airport lounges (max. 2 per quarter),NA,Earn 10 RPs on dining & movies,,NA,,NA,NA,Rs. 99,3.5%,3.50% p.m.,Avail 1% waived off on purchasing fuel worth Rs. 500- Rs. 4000 anywhere in India.,2.5% or Rs. 500 whichever is higher at national & international ATMs,NA,NA,NA
